submissionid,ma_id,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
4eb844be-4294-41c2-a14f-0868311bf1c5,171,tainha,,,,,,,,10
224c6029-3c87-4381-801e-8e7a4b756a72,171,,,,,,,,,
3439ae8b-7672-4cd9-bab4-8974199f5ff8,171,Pratiqueira,,,,,,,,4
4c76608c-8bb7-4d40-b332-3089456f725f,171,pescada amarela,,,,,0,,,
fb8f6700-50d3-4ca6-b562-c381736b224a,171,,,,,,,,,
92dfbf6a-bea5-4298-954c-d5c6333dc7ca,171,,,,,,,,,
96a57803-94b7-4505-a1f1-5874dc471cbc,171,caranguejo,,,,,,,,1
36e3ef1d-5908-4485-9419-025cad1a6e98,171,caranguejo,,,,,,,,1
81471765-316d-4c7e-9373-2f97e7b7c26c,165,peixe pratiqueira,,,,,8,,8,
c3c5aa11-322b-46b4-9528-2826ea262a82,165,camarão,20,,,,,,,
1a547b57-05f3-48fc-b6a4-2014112db5e2,171,caranguejo (centro),,,,,,,,
7756c604-2207-4ac2-96b2-8899fa74433f,171,camarão ,,,,,,,,
ba686f74-6dd6-4acb-90a1-e06626ea9dbd,171,peixe sarda,,,,,,,,
78da2675-a8ef-4e1f-b231-e9447cc90e6d,171,peixe sarda,,,,,,,,
c247936b-581d-4b80-9220-8f1807707016,171,peixe pescada,,,,,,,,
c015a4da-1d7d-4f1e-b8e5-af1ad8e9f698,165,bagre kg,,,,,,,4,
e837ebe5-bf90-4682-94c2-4670580bfec6,171,caranguejo(centro),,80,,,,,,
ea14c800-21c2-41d8-86d7-2ec43a8bd524,171,pescada,,,,,,,,15
5afc4ee2-766f-48ce-a87c-507cda1a9280,171,corvina,,,,,4000,,,
4e1cde02-c531-4e23-9fb8-382965406398,171,,,,,,,,,
f7338d9b-a04e-4ab2-88aa-aeee612af685,171,,,,,,,,,
0c7fe56c-2bbf-40d4-bed6-9f782e9add90,165,,,,,,,,,
64e1cab4-f0b5-4755-87a2-9c247606cc43,171,,,,,,,,,
788c5ea9-4e94-4f8a-a405-cbe78c6fa32a,165,pescada,,,,,,,8,
c5e20bf2-d30e-4a17-883f-76aaa17a44de,171,,,,,,,,,
facf2890-bbd7-4127-8d98-a17a0988b6c2,171,bagre,,,,,,,5,
afba3eb7-5649-4954-acae-476aaa25852d,171,piaba,,,,,,,,
cc6ce70b-4149-48e5-97d5-278553062a29,171,,,,,,,,,
defb1819-7ab9-407c-9bc8-d315d75583d1,171,Tainha,,,,,,,,
9f10cfa9-880f-4419-a7b2-01eda2cdcc30,171,pratiqueira,,,,,,,,
9f10cfa9-880f-4419-a7b2-01eda2cdcc30,171,Tainha,,,,,,,,
d40c5d9f-9910-4bc0-933b-6873a2934d18,171,bagre,,,,,,,,
0685631b-f760-4171-bd94-d3d5443921a3,165,gó,,,,,,,,
5d9e9e48-531b-4d9e-8b63-9561ed650862,165,peramutaba,,,,,,,,
de120e96-6196-4e10-8344-d80de9ee355a,171,carangueijo(centro),,,,,,,,
9dd2ed88-5af4-4983-adb3-49c2e578f386,171,pratiqueira,,,,,,,,
9d9a182c-7116-4f56-ba6a-3a3fc4e7e272,171,pescada,,,,,,,,
9e410ff3-3984-46f6-9fc0-51519c039055,171,caranguejo( polpa),,,,,,,35,
ec825557-2d66-4e10-8264-d4642d92545f,171,carangueijo (peira),,,,,,,,
079521e1-8063-4151-89ba-40f1bf4d75c6,171,dourada,,,,,,,,
ce4adada-ea85-44c2-9946-49975c6dbe23,165,,,,,,,,,
