country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,45_leadership_position
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,a21ad569-a012-43de-8f7c-0c007c653b74,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,df09e5d8-a373-4a53-9bf3-73f796670eb1,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,3c47e0da-534d-4a87-b421-e189c126181c,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,c29a1959-1067-47df-bbd4-4d3109c85c01,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,cf4a1b5c-5107-4c2c-84a2-7630f9a1b75d,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,3753653a-aa18-4e41-941f-4252bc883b03,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,51a8effd-a9a7-4929-9c25-edc80e9f4440,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,9be5068f-b71a-48b5-95f9-a42dd7af95f0,No
PHL,Caraga,Surigao del Norte,Dapa,Cabawa,1742,9.723305,126.06017,SDN_Dapa,Cabawa,933d6087-1393-4c14-9d04-165e0295c882,No
PHL,Caraga,Surigao del Norte,Dapa,San Miguel,1752,9.719405,126.031323,SDN_Dapa,San Miguel,4959b424-bcef-41fa-a065-6967e6d7685f,No
PHL,Caraga,Surigao del Norte,Dapa,San Miguel,1752,9.719405,126.031323,SDN_Dapa,San Miguel,6ac2d4dd-f0af-446a-a45e-80b53eab16dc,No
